id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Leon;Schumm;Devyn.Ruecker@yahoo.com;minute measure reliable;2024-03-01T03:50:28;12073;14279
2;Kellen;Will;Kailyn83@gmail.com;ick;2024-02-29T18:49:40;26473;28376
3;Tara;Durgan;Genevieve.Welch-Cummerata@yahoo.com;automaton transplantation;2024-03-01T00:32:36;8667;26797
4;Beatrice;Schaefer;Tommie.Schmeler-Hills15@gmail.com;tomorrow;2024-02-29T04:15:12;18224;8753
5;Gwen;Labadie;Florencio.Rutherford@yahoo.com;threat salute peppery;2024-02-29T04:38:29;1743;26724
6;Noemie;Stark;Jerry79@yahoo.com;imperturbable scared;2024-02-29T09:43:59;4333;31648
7;Deborah;O'Reilly;Yazmin12@yahoo.com;pastor;2024-02-29T12:06:13;31749;23915
8;Gilda;McGlynn;Osbaldo.Adams@hotmail.com;inside whoever blah;2024-02-29T14:50:37;455;15056
9;Moises;Yost;Alene.Gleason-Raynor7@yahoo.com;sprout;2024-02-29T23:09:07;4705;5498
10;Elouise;Berge;Jaclyn87@hotmail.com;pollinate;2024-02-29T16:04:27;17318;7951
